name,image_url
Kimi no Na wa.,https://cdn.myanimelist.net/images/anime/5/87048l.jpg
Fullmetal Alchemist: Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745l.jpg
Gintama°,https://cdn.myanimelist.net/images/anime/3/72078l.jpg
Steins;Gate,https://cdn.myanimelist.net/images/anime/1935/127974l.jpg
Gintama&#039;,https://cdn.myanimelist.net/images/anime/4/50361l.jpg
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,https://cdn.myanimelist.net/images/anime/7/81992l.jpg
Hunter x Hunter (2011),https://cdn.myanimelist.net/images/anime/1337/99013l.jpg
Ginga Eiyuu Densetsu,https://cdn.myanimelist.net/images/anime/1976/142016l.jpg
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,https://cdn.myanimelist.net/images/anime/10/51723l.jpg
Gintama&#039;: Enchousen,https://cdn.myanimelist.net/images/anime/4/50361l.jpg
Clannad: After Story,https://cdn.myanimelist.net/images/anime/1299/110774l.jpg
Koe no Katachi,https://cdn.myanimelist.net/images/anime/1122/96435l.jpg
Gintama,https://cdn.myanimelist.net/images/anime/4/50361l.jpg
Code Geass: Hangyaku no Lelouch R2,https://cdn.myanimelist.net/images/anime/1088/135089l.jpg
Haikyuu!! Second Season,https://cdn.myanimelist.net/images/anime/9/76662l.jpg
Sen to Chihiro no Kamikakushi,https://cdn.myanimelist.net/images/anime/6/79597l.jpg
Shigatsu wa Kimi no Uso,https://cdn.myanimelist.net/images/anime/1405/143284l.jpg
Mushishi Zoku Shou 2nd Season,https://cdn.myanimelist.net/images/anime/9/68095l.jpg
Ookami Kodomo no Ame to Yuki,https://cdn.myanimelist.net/images/anime/9/35721l.jpg
Code Geass: Hangyaku no Lelouch,https://cdn.myanimelist.net/images/anime/1032/135088l.jpg
Hajime no Ippo,https://cdn.myanimelist.net/images/anime/4/86334l.jpg
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://cdn.myanimelist.net/images/anime/1656/137618l.jpg
Cowboy Bebop,https://cdn.myanimelist.net/images/anime/4/19644l.jpg
One Punch Man,https://cdn.myanimelist.net/images/anime/12/76049l.jpg
Mononoke Hime,https://cdn.myanimelist.net/images/anime/1355/147277l.jpg
Suzumiya Haruhi no Shoushitsu,https://cdn.myanimelist.net/images/anime/1248/112352l.jpg
Monogatari Series: Second Season,https://cdn.myanimelist.net/images/anime/1807/121534l.jpg
